Time	UTC	GPS_lat(deg)	GPS_long(deg)	AIR_DATA:airspeed	IMU_ACCEL:az	IMU_ACCEL:ay	IMU_ACCEL:ax	IMU_MAG:mz	IMU_MAG:my	IMU_MAG:mx	IMU_GYRO:gr	IMU_GYRO:gq	IMU_GYRO:gp	WIND_INFO_RET:airspeed	WIND_INFO_RET:up	WIND_INFO_RET:north	WIND_INFO_RET:east	AOA:angle	GPS:climb	GPS:speed	GPS:course	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
30.520	13:03:28.386	43.462279201	1.273088679	0.	-9.764648	0.	0.947266	0.729492	-0.125488	-0.538574	0.026367	0.009033	0.013672	-0.001562	0.657193	-0.066897	-0.111545	-0.445562	-15	3	0	-0.034813	2.849312	0.003655
30.570	13:03:28.436	43.462279201	1.273088679	0.	-9.754883	0.001953	0.942383	0.744141	-0.147461	-0.530762	0.026367	0.007812	0.013672	-0.001562	0.657193	-0.066897	-0.111545	-0.445562	-15	3	0	-0.034923	2.848133	0.003856
30.620	13:03:28.486	43.462279201	1.273088679	0.	-9.771484	-0.016602	0.954102	0.73584	-0.115234	-0.526855	0.026367	0.008301	0.013672	-0.000978	0.659851	-0.065472	-0.110515	-0.445562	-15	3	0	-0.035065	2.844792	0.003903
30.670	13:03:28.536	43.462279201	1.273088679	0.	-9.791016	-0.001953	0.970703	0.727539	-0.129395	-0.532715	0.026367	0.007812	0.010986	-0.000978	0.659851	-0.065472	-0.110515	-0.445562	-15	3	0	-0.035597	2.846288	0.003451
30.720	13:03:28.586	43.462279201	1.273088679	0.	-9.779297	-0.003906	0.960938	0.740234	-0.127441	-0.526855	0.026367	0.007812	0.015381	-0.001653	0.652176	-0.06625	-0.111328	-0.445562	-11	3	0	-0.035942	2.851461	0.003106
30.770	13:03:28.636	43.462279201	1.273088679	0.	-9.728516	-0.003906	0.93457	0.742188	-0.135254	-0.526855	0.026367	0.008301	0.013672	-0.001653	0.652176	-0.06625	-0.111328	-0.445562	-11	3	0	-0.036152	2.849293	0.003027
30.820	13:03:28.686	43.462279201	1.273088679	0.	-9.762695	-0.008789	0.942383	0.733887	-0.123047	-0.51709	0.026367	0.008301	0.012695	-0.001193	0.641536	-0.070284	-0.114162	-0.445562	-11	3	0	-0.036267	2.849196	0.00287
30.870	13:03:28.736	43.462279201	1.273088679	0.	-9.759766	-0.006836	0.956055	0.746582	-0.125488	-0.520996	0.0271	0.007812	0.013672	-0.001193	0.641536	-0.070284	-0.114162	-0.445562	-11	3	0	-0.035088	2.848967	0.002938
30.920	13:03:28.786	43.462279291	1.273088677	0.	-9.759766	-0.016602	0.96582	0.740234	-0.125488	-0.51709	0.025879	0.007324	0.011475	-0.001005	0.634028	-0.073258	-0.115212	-0.445562	-5	4	0	-0.034326	2.848989	0.002964
30.970	13:03:28.836	43.462279291	1.273088677	0.	-9.738281	0.013672	0.9375	0.744141	-0.137695	-0.528809	0.026367	0.007812	0.016357	-0.001005	0.634028	-0.073258	-0.115212	-0.445562	-5	4	0	-0.033839	2.851501	0.002986
31.020	13:03:28.886	43.462279291	1.273088677	0.	-9.743164	-0.018555	0.925781	0.771484	-0.117188	-0.528809	0.0271	0.007812	0.010986	-0.00192	0.632748	-0.068671	-0.116085	-0.445562	-5	4	0	-0.033489	2.8519	0.00318
31.070	13:03:28.936	43.462279291	1.273088677	0.	-9.75	-0.001953	0.944336	0.725098	-0.131348	-0.526855	0.025879	0.007324	0.012207	-0.00192	0.632748	-0.068671	-0.116085	-0.445562	-5	4	0	-0.034161	2.851807	0.003659
31.120	13:03:28.986	43.462279381	1.273088674	0.	-9.757812	-0.013672	0.960938	0.742188	-0.141602	-0.534668	0.025879	0.009033	0.014893	-0.002221	0.633196	-0.061525	-0.116208	-0.445562	-15	4	0	-0.034746	2.850523	0.004179
31.170	13:03:29.036	43.462279381	1.273088674	0.	-9.741211	0.006836	0.963867	0.752441	-0.131348	-0.538574	0.026367	0.008301	0.011475	-0.002221	0.633196	-0.061525	-0.116208	-0.445562	-15	4	0	-0.035156	2.850439	0.004524
31.220	13:03:29.086	43.462279381	1.273088674	0.	-9.733398	-0.001953	0.944336	0.752441	-0.111328	-0.528809	0.025879	0.008301	0.013672	-0.000919	0.632525	-0.060731	-0.113926	-0.445562	-15	4	0	-0.035424	2.850695	0.004691
31.270	13:03:29.136	43.462279381	1.273088674	0.	-9.748047	0.006836	0.944336	0.754883	-0.133301	-0.524902	0.026367	0.008301	0.013184	-0.000919	0.632525	-0.060731	-0.113926	-0.445562	-15	4	0	-0.034956	2.849984	0.003978
31.320	13:03:29.186	43.462279381	1.273088674	0.	-9.759766	-0.016602	0.930664	0.752441	-0.137695	-0.526855	0.025879	0.007324	0.013672	-0.001144	0.62701	-0.06254	-0.11241	-0.445562	-2	5	0	-0.034331	2.848733	0.003008
31.370	13:03:29.236	43.462279381	1.273088674	0.	-9.75	-0.003906	0.947266	0.737793	-0.137695	-0.524902	0.025879	0.007812	0.013184	-0.001144	0.62701	-0.06254	-0.11241	-0.445562	-2	5	0	-0.033927	2.84768	0.002388
31.420	13:03:29.286	43.462279381	1.273088674	0.	-9.754883	-0.003906	0.942383	0.756836	-0.123047	-0.541992	0.026367	0.008301	0.01416	-0.002553	0.619146	-0.061013	-0.120295	-0.445562	-2	5	0	-0.033679	2.846606	0.001967
31.470	13:03:29.336	43.462279381	1.273088674	0.	-9.731445	-0.018555	0.947266	0.737793	-0.127441	-0.528809	0.026367	0.007324	0.01416	-0.002553	0.619146	-0.061013	-0.120295	-0.445562	-2	5	0	-0.033548	2.846863	0.00194
31.520	13:03:29.386	43.462279383	1.273088798	0.	-9.743164	0.003906	0.960938	0.737793	-0.129395	-0.524902	0.026367	0.008301	0.013184	-0.002086	0.616997	-0.05729	-0.127698	-0.445562	-3	4	0	-0.033532	2.846571	0.002038
31.570	13:03:29.436	43.462279383	1.273088798	0.	-9.797852	-0.003906	0.939453	0.748535	-0.135254	-0.522949	0.026367	0.007812	0.014893	-0.002086	0.616997	-0.05729	-0.127698	-0.445562	-3	4	0	-0.033521	2.848716	0.002144
31.620	13:03:29.486	43.462279383	1.273088798	0.	-9.746094	0.003906	0.932617	0.775879	-0.123047	-0.543945	0.026367	0.007812	0.011475	-0.001278	0.622578	-0.052204	-0.129335	-0.445562	-3	4	0	-0.033528	2.84794	0.002236
31.670	13:03:29.536	43.462279383	1.273088798	0.	-9.736328	-0.026367	0.925781	0.73584	-0.135254	-0.524902	0.026367	0.007812	0.014893	-0.001278	0.622578	-0.052204	-0.129335	-0.445562	-3	4	0	-0.03354	2.84849	0.002297
31.720	13:03:29.586	43.462279473	1.273088795	0.	-9.743164	-0.001953	0.93457	0.752441	-0.127441	-0.541992	0.026367	0.007812	0.012207	-0.001527	0.628208	-0.047473	-0.129656	-0.445562	-13	4	0	-0.033535	2.847146	0.002559
