# Wind Estimator
#
# Q = diag( 1.00000 1.00000 1.00000 0.01000 0.01000 0.01000 )
# R = diag( 0.25000 0.25000 0.25000 0.01000 0.01000 )
# ki = 0.00000
# alpha = 0.50000
# beta = 2.00000
#
p q r ax ay az vkx vky vkz va aoa q1 q2 q3 q4 phi theta u v w wx wy wz t
0.00104 -0.00171 -0.00021 -0.327 0.003 -9.707 0.00 -0.01 0.04 0.00 0.00000 0.14542 0.01725 -0.00092 0.98921 0.0031 -0.0344 -0.001 -0.111 0.321 -0.066 -0.111 -0.657 30410
0.00145 -0.00123 -0.00100 -0.300 -0.008 -9.673 -0.00 -0.02 0.13 0.00 0.00000 0.14568 0.01750 -0.00070 0.98917 0.0037 -0.0348 -0.000 -0.096 0.404 -0.065 -0.110 -0.659 30510
0.00314 -0.00124 -0.00126 -0.322 -0.001 -9.689 -0.01 -0.02 0.13 0.00 0.00000 0.14796 0.01769 -0.00072 0.98883 0.0038 -0.0352 -0.001 -0.096 0.404 -0.066 -0.111 -0.652 30610
0.00360 -0.00053 -0.00127 -0.314 0.006 -9.697 -0.02 -0.00 0.09 0.00 0.00000 0.14494 0.01802 -0.00108 0.98927 0.0030 -0.0359 -0.001 -0.112 0.368 -0.070 -0.114 -0.641 30710
0.00053 -0.00174 -0.00015 -0.313 0.008 -9.699 -0.02 -0.00 0.09 0.00 0.00000 0.14583 0.01798 -0.00119 0.98914 0.0028 -0.0359 -0.001 -0.121 0.354 -0.073 -0.115 -0.634 30810
-0.00082 -0.00168 -0.00120 -0.310 -0.013 -9.685 0.00 -0.01 0.05 0.00 0.00000 0.14587 0.01712 -0.00103 0.98915 0.0029 -0.0341 -0.001 -0.118 0.324 -0.068 -0.116 -0.632 30910
0.00102 -0.00044 -0.00019 -0.301 -0.029 -9.695 0.02 -0.01 0.05 0.00 0.00000 0.14456 0.01676 -0.00084 0.98935 0.0031 -0.0334 -0.002 -0.112 0.316 -0.061 -0.116 -0.633 31010
0.00419 -0.00048 -0.00061 -0.300 -0.001 -9.687 -0.00 -0.03 0.14 0.00 0.00000 0.14512 0.01755 -0.00040 0.98925 0.0043 -0.0348 -0.000 -0.093 0.393 -0.060 -0.113 -0.632 31110
0.00187 -0.00122 -0.00154 -0.328 0.003 -9.682 -0.02 -0.03 0.15 0.00 0.00000 0.14535 0.01788 -0.00023 0.98921 0.0047 -0.0354 -0.001 -0.081 0.399 -0.062 -0.112 -0.627 31210
0.00187 -0.00216 -0.00106 -0.309 0.016 -9.719 0.01 -0.00 0.04 0.00 0.00000 0.14590 0.01712 -0.00110 0.98914 0.0028 -0.0342 -0.002 -0.121 0.309 -0.061 -0.120 -0.619 31310
0.00177 -0.00116 -0.00156 -0.316 0.001 -9.711 0.03 0.00 0.03 0.00 0.00000 0.14722 0.01677 -0.00153 0.98895 0.0018 -0.0336 -0.002 -0.149 0.284 -0.057 -0.127 -0.616 31410
-0.00121 -0.00213 0.00006 -0.301 -0.011 -9.679 0.03 0.00 0.02 0.00 0.00000 0.14661 0.01673 -0.00145 0.98905 0.0020 -0.0335 -0.001 -0.150 0.282 -0.052 -0.129 -0.622 31510
-0.00082 -0.00115 -0.00072 -0.320 -0.013 -9.697 0.03 0.00 0.03 0.00 0.00000 0.14641 0.01674 -0.00135 0.98908 0.0022 -0.0335 -0.001 -0.146 0.291 -0.047 -0.129 -0.628 31610
0.00178 -0.00114 -0.00155 -0.311 -0.018 -9.691 0.03 -0.00 0.10 0.00 0.00000 0.14670 0.01677 -0.00117 0.98903 0.0026 -0.0335 -0.001 -0.139 0.352 -0.043 -0.129 -0.631 31710
0.00233 -0.00211 -0.00112 -0.304 -0.001 -9.668 0.03 -0.00 0.11 0.00 0.00000 0.14636 0.01681 -0.00106 0.98908 0.0028 -0.0335 -0.001 -0.137 0.371 -0.040 -0.130 -0.634 31810
0.00233 -0.00120 -0.00112 -0.317 -0.000 -9.688 -0.00 0.00 0.14 0.00 0.00000 0.14623 0.01794 -0.00113 0.98908 0.0030 -0.0358 -0.000 -0.134 0.391 -0.046 -0.129 -0.629 31910
0.00242 -0.00174 -0.00041 -0.306 0.001 -9.664 -0.04 0.01 0.15 0.00 0.00000 0.14698 0.01886 -0.00123 0.98895 0.0031 -0.0376 0.000 -0.132 0.395 -0.057 -0.125 -0.623 32010
0.00147 -0.00124 -0.00031 -0.312 0.003 -9.670 -0.05 -0.00 0.14 0.00 0.00000 0.14877 0.01885 -0.00093 0.98869 0.0037 -0.0375 0.000 -0.117 0.383 -0.066 -0.119 -0.617 32110
-0.00029 -0.00171 -0.00082 -0.319 0.001 -9.688 -0.04 -0.01 0.13 0.00 0.00000 0.14888 0.01856 -0.00056 0.98867 0.0044 -0.0368 -0.000 -0.100 0.374 -0.070 -0.114 -0.609 32210
-0.00061 -0.00219 0.00047 -0.314 -0.011 -9.675 -0.04 -0.02 0.11 0.00 0.00000 0.14755 0.01861 -0.00036 0.98887 0.0047 -0.0369 -0.000 -0.086 0.350 -0.074 -0.111 -0.606 32310
-0.00034 -0.00170 -0.00128 -0.309 0.011 -9.711 -0.05 -0.03 0.10 0.00 0.00000 0.14736 0.01871 -0.00024 0.98890 0.0050 -0.0370 -0.000 -0.081 0.332 -0.079 -0.108 -0.601 32410
0.00188 -0.00122 -0.00110 -0.312 -0.003 -9.682 -0.06 -0.02 0.09 0.00 0.00000 0.14860 0.01889 -0.00034 0.98871 0.0049 -0.0374 0.000 -0.080 0.330 -0.084 -0.107 -0.602 32510
0.00138 -0.00123 -0.00103 -0.301 -0.006 -9.687 -0.07 -0.01 0.10 0.00 0.00000 0.14827 0.01909 -0.00053 0.98876 0.0046 -0.0379 0.000 -0.084 0.338 -0.091 -0.106 -0.603 32610
0.00177 -0.00124 -0.00159 -0.310 -0.006 -9.687 -0.07 -0.00 0.09 0.00 0.00000 0.14911 0.01919 -0.00098 0.98863 0.0037 -0.0382 0.000 -0.102 0.329 -0.099 -0.107 -0.604 32710
0.00076 -0.00173 -0.00145 -0.295 0.021 -9.707 -0.07 0.02 0.06 0.00 0.00000 0.14867 0.01926 -0.00164 0.98869 0.0024 -0.0385 0.000 -0.136 0.300 -0.108 -0.110 -0.604 32810
