# Wind Estimator
#
# Q = diag( 0.01000000 0.01000000 0.01000000 0.00010000 0.00010000 0.00010000 0.00000001 )
# R = diag( 0.25000000 0.25000000 0.25000000 0.25000000 0.00000400 )
# ki = 0.00000
# alpha = 0.50000
# beta = 2.00000
#
p q r ax ay az q1 q2 q3 q4 vkx vky vkz va aoa u v w wx wy wz vas t
-0.14153 -0.73936 -0.01682 4.401 -0.011 9.606 0.9989 -0.0038 0.0473 -0.0008 0.30868 0.00099 0.49018 1.09310 1.09458 0.431 -0.011 0.866 -0.090 0.003 -0.147 1.025 100
-0.26664 -1.34990 0.15158 3.804 0.074 9.449 0.9999 -0.0150 -0.0049 0.0032 0.42103 0.00195 0.60665 2.23025 1.01831 0.943 -0.071 1.541 -0.207 0.008 -0.347 1.161 200
-0.30266 -1.65724 0.42019 3.375 0.216 9.118 0.9967 -0.0289 -0.0731 0.0183 0.43337 0.01147 0.61400 3.19346 0.88802 1.615 -0.202 1.979 -0.332 0.011 -0.575 1.241 300
-0.21465 -1.73458 0.75863 3.268 0.633 8.830 0.9853 -0.0439 -0.1569 0.0519 0.42070 0.03582 0.59532 4.30941 0.72819 2.388 -0.400 2.123 -0.448 -0.002 -0.793 1.332 400
-0.02597 -1.63323 1.02298 3.495 1.317 8.183 0.9671 -0.0526 -0.2290 0.0977 0.41411 0.08051 0.57011 5.17779 0.56678 3.141 -0.648 1.992 -0.565 -0.031 -0.988 1.399 500
0.30950 -1.56059 1.11147 3.337 1.853 5.951 0.9397 -0.0512 -0.2977 0.1606 0.40132 0.14136 0.46080 5.90635 0.41179 3.652 -0.924 1.594 -0.665 -0.049 -1.155 1.468 600
-0.04955 5.31401 -0.02082 -9.108 1.599 -3.536 0.9695 -0.0064 -0.2180 0.1118 -1.93238 0.23344 -1.61258 0.00000 2.80732 -7.198 -0.769 -2.197 2.187 2.017 3.603 3.941 700
-0.00417 0.38236 -0.44279 -3.712 0.738 5.515 0.9938 -0.0417 0.0190 0.1017 -0.79358 0.01235 -0.08814 0.05035 -2.34549 -5.373 1.909 19.017 -0.620 -2.809 -6.379 1.440 800
0.04239 -0.09454 -0.11814 0.527 0.038 3.686 0.9949 -0.0400 0.0104 0.0918 -0.30479 -0.06701 0.19165 0.02418 -1.72126 2.318 -4.041 20.552 -2.393 1.111 -9.522 0.412 900
0.05828 -0.07349 0.00388 -0.043 -0.677 2.759 0.9952 -0.0359 0.0030 0.0913 -0.13323 -0.07599 0.19820 0.00134 1.46780 2.139 -3.872 20.329 -2.550 1.201 -10.709 0.218 1000
0.07424 -0.02768 0.00305 -0.084 -0.664 2.598 0.9953 -0.0314 -0.0005 0.0916 -0.06663 -0.08024 0.17913 0.01258 1.47574 1.920 -3.686 19.866 -2.598 1.279 -11.537 0.154 1100
0.09986 -0.00138 0.00071 -0.049 -0.675 2.678 0.9955 -0.0254 -0.0015 0.0917 -0.03371 -0.08080 0.17578 0.17353 -1.61307 56.176 -2.585 15.322 -7.421 -0.322 -12.134 0.112 1200
0.12988 0.00176 0.00003 -0.066 -0.577 2.659 0.9956 -0.0187 -0.0015 0.0918 -0.01971 -0.07965 0.17808 0.00000 -1.63866 55.387 6.515 -67.403 -8.007 -7.477 6.678 0.291 1300
0.17496 -0.00242 -0.00040 -0.031 -0.597 2.651 0.9957 -0.0094 -0.0011 0.0918 -0.01129 -0.07580 0.17751 0.00456 -1.62248 31.698 7.872 -81.511 -7.755 -9.462 14.472 0.149 1400
0.02284 0.02612 0.00115 0.039 -0.390 2.626 0.9958 -0.0008 -0.0004 0.0918 -0.00921 -0.07507 0.15941 0.00000 -1.71129 12.144 8.722 -81.864 -6.375 -10.163 19.612 0.111 1500
-0.00966 -0.00564 0.00439 0.100 -0.326 2.698 0.9958 0.0004 -0.0004 0.0920 -0.00480 -0.06912 0.17611 0.12559 1.48870 118.592 11.688 -72.449 -19.821 -15.412 22.376 0.042 1600
-0.01177 -0.00981 0.00467 -0.052 -0.651 2.534 0.9957 0.0009 -0.0010 0.0922 -0.00473 -0.06745 0.17143 0.03201 1.49177 132.378 6.719 11.483 -27.655 -12.514 9.157 0.056 1700
-0.00431 -0.00567 0.00470 -0.050 -0.549 2.544 0.9957 0.0018 -0.0017 0.0925 -0.00489 -0.06927 0.16572 0.10717 1.49319 110.052 1.848 72.213 -30.852 -8.599 -4.601 0.060 1800
-0.00013 -0.00252 0.00416 -0.023 -0.520 2.496 0.9957 0.0029 -0.0020 0.0926 -0.00417 -0.06940 0.16490 0.00000 -1.64562 159.113 7.713 -9.174 -41.890 -16.244 7.121 0.029 1900
-0.00018 -0.00156 0.00320 -0.020 -0.524 2.392 0.9957 0.0041 -0.0023 0.0928 -0.00471 -0.06822 0.16263 0.00000 -1.64825 136.765 11.360 -68.105 -43.714 -20.187 17.881 0.023 2000
-0.00012 -0.00255 0.00319 -0.047 -0.460 2.399 0.9957 0.0052 -0.0026 0.0929 -0.00447 -0.06462 0.15971 0.00000 0.00074 135.622 11.455 -47.475 -48.063 -21.163 16.926 0.020 2100
-0.00005 -0.00257 0.00319 -0.007 -0.437 2.308 0.9956 0.0064 -0.0029 0.0931 -0.00357 -0.06270 0.15643 0.00000 -0.00103 128.683 11.311 -31.258 -51.011 -21.622 15.659 0.018 2200
0.00001 -0.00356 0.00319 -0.025 -0.514 2.320 0.9956 0.0074 -0.0032 0.0933 -0.00075 -0.06137 0.15531 0.00000 0.00193 119.690 11.037 -19.307 -52.963 -21.755 14.336 0.017 2300
0.00020 -0.00260 0.00416 -0.067 -0.468 2.291 0.9956 0.0085 -0.0034 0.0935 -0.00097 -0.05973 0.15236 0.02416 0.00121 110.530 10.732 -11.380 -54.246 -21.729 13.163 0.016 2400
0.00026 -0.00359 0.00416 -0.008 -0.425 2.247 0.9956 0.0095 -0.0037 0.0937 -0.00132 -0.05849 0.15079 0.16654 -0.00039 102.194 10.454 -6.608 -55.114 -21.639 12.200 0.016 2500
0.00129 -0.00360 0.00404 0.053 -0.394 2.190 0.9955 0.0106 -0.0040 0.0939 -0.00131 -0.05506 0.14878 0.00000 0.00001 95.007 10.205 -3.862 -55.725 -21.523 11.406 0.016 2600
0.00134 -0.00361 0.00404 -0.040 -0.425 2.207 0.9955 0.0116 -0.0043 0.0941 -0.00176 -0.05391 0.14586 0.00847 0.00121 88.933 9.975 -2.307 -56.162 -21.394 10.734 0.015 2700
0.00140 -0.00460 0.00404 0.057 -0.416 2.173 0.9955 0.0126 -0.0046 0.0943 -0.00153 -0.05290 0.14297 0.10573 -0.00191 83.870 9.767 -1.593 -56.480 -21.262 10.168 0.015 2800
0.00132 -0.00363 0.00307 -0.017 -0.406 2.130 0.9954 0.0136 -0.0049 0.0944 -0.00063 -0.05076 0.14182 0.00000 -0.00206 79.653 9.580 -1.202 -56.710 -21.126 9.666 0.015 2900
0.00139 -0.00462 0.00307 0.039 -0.452 2.067 0.9954 0.0149 -0.0052 0.0946 0.00577 -0.06984 0.14006 0.00000 -0.00144 76.162 9.387 -0.959 -56.878 -20.982 9.210 0.014 3000
